Month,Day,Reason
January,02,New Years
January,06,Work From Home
January,09,Work From Home
January,13,Work From Home
January,16,Work From Home
January,20,Work From Home
January,23,Work From Home
January,27,Work From Home
February,01,Work From Home
February,06,Work From Home
February,07,Work From Home
February,10,Work From Home
February,13,Work From Home
February,17,Work From Home
February,20,Work From Home
February,24,Work From Home
February,27,Work From Home
March,03,Work From Home
March,06,Work From Home
March,10,Work From Home
March,13,Work From Home
March,16,St. Patricks Day
March,17,Work From Home
March,20,Work From Home
March,21,Work From Home
March,22,Work From Home
March,23,Work From Home
March,24,Work From Home
March,27,Work From Home
April,03,Vacation
April,04,Vacation
April,05,Vacation
April,06,Vacation
April,07,Spring Holiday
April,10,Vacation
April,11,Work From Home
April,14,Work From Home
April,21,Work From Home
April,24,Work From Home
April,25,Work From Home
April,28,Work From Home
May,01,Work From Home
May,04,Work From Home
May,08,Work From Home
May,12,Work From Home
May,15,Work From Home
May,18,Work From Home
May,19,Work From Home
May,22,Work From Home
May,23,Work From Home
May,26,Work From Home
May,29,Memorial Day
May,30,Work From Home
May,31,Work From Home
June,01,Work From Home
June,02,Work From Home
June,05,Work From Home
June,08,Work From Home
June,09,Work From Home
June,12,Work From Home
June,14,Work From Home
June,15,Work From Home
June,16,Work From Home
June,19,Work From Home
June,21,Work From Home
June,22,Work From Home
June,30,Work From Home
July,03,Work From Home
July,04,Independence Day
July,05,Work From Home
July,06,Work From Home
July,07,Work From Home
July,10,Work From Home
July,11,Work From Home
July,12,Work From Home
July,13,Work From Home
July,14,Work From Home
July,17,Work From Home
July,18,Work From Home
July,19,Work From Home
July,20,Work From Home
July,21,Work From Home
July,24,Work From Home
July,26,Work From Home
July,28,Work From Home
July,31,Work From Home
August,04,Vacation
August,07,Work From Home
August,10,Work From Home
August,11,Work From Home
August,14,Vacation
August,15,Vacation
August,16,Vacation
August,18,Work From Home
August,25,Work From Home
August,28,Work From Home
September,01,Work From Home
September,04,Labor Day
September,08,Work From Home
September,11,Work From Home
September,12,Work From Home
September,13,Work From Home
September,14,Bereavement
September,15,Work From Home
September,18,Work From Home
September,22,Work From Home
September,25,Work From Home
September,29,Work From Home
October,02,Work From Home
October,04,Work From Home
October,05,Vacation
October,06,Vacation
October,09,Vacation
October,10,Vacation
October,11,Vacation
October,12,Vacation
October,13,Vacation
October,16,Work From Home
October,20,Work From Home
October,23,Work From Home
October,27,Work From Home
October,30,Work From Home
November,02,Work From Home
November,03,Work From Home
November,06,Work From Home
November,07,Work From Home
November,08,Work From Home
November,09,Work From Home
November,10,Work From Home
November,13,Work From Home
November,17,Work From Home
November,20,Work From Home
November,22,Work From Home
November,23,Thanksgiving
November,24,Thanksgiving
November,29,Work From Home
December,01,Work From Home
December,04,Work From Home
December,05,Work From Home
December,08,Work From Home
December,11,Work From Home
December,15,Work From Home
December,18,Vacation
December,20,Vacation
December,21,Vacation
December,22,Vacation
December,25,Christmas
December,26,Christmas
December,27,Vacation
December,28,Vacation
December,29,Vacation
Total Work From Home Days:,117
Total Work From Office Days:,109
Total Vacation Days:,23
Total Bereavement Days:,1
Total Holidays:,10
